key,value,date
Mozart,36,1983
Mozart,45,1984
Mozart,23,1985
Mozart,26,1986
Mozart,40,1987
Mozart,36,1988
Mozart,27,1989
Mozart,28,1990
Mozart,90,1991
Mozart,28,1992
Mozart,34,1993
Mozart,21,1994
Mozart,19,1995
Mozart,14,1996
Mozart,23,1997
Mozart,20,1998
Mozart,20,1999
Mozart,16,2000
Mozart,35,2001
Mozart,30,2002
Mozart,23,2003
Mozart,11,2004
Mozart,23,2005
Mozart,50,2006
Mozart,23,2007
Mozart,38,2008
Mozart,27,2009
Mozart,41,2010
Mozart,26,2011
Mozart,34,2012
Mozart,35,2013
Mozart,15,2014
Mozart,27,2015
Mozart,23,2016
Ravel,0,1842
Ravel,0,1843
Ravel,0,1844
Ravel,0,1845
Ravel,0,1846
Ravel,0,1847
Ravel,0,1848
Ravel,0,1849
Ravel,0,1850
Ravel,0,1851
Ravel,0,1852
Ravel,0,1853
Ravel,0,1854
Ravel,0,1855
Ravel,0,1856
Ravel,0,1857
Ravel,0,1858
Ravel,0,1859
Ravel,0,1860
Ravel,0,1861
Ravel,0,1862
Ravel,0,1863
Ravel,0,1864
Ravel,0,1865
Ravel,0,1866
Ravel,0,1867
Ravel,0,1868
Ravel,0,1869
Ravel,0,1870
Ravel,0,1871
Ravel,0,1872
Ravel,0,1873
Ravel,0,1874
Ravel,0,1875
Ravel,0,1876
Ravel,0,1877
Ravel,0,1878
Ravel,0,1879
Ravel,0,1880
Ravel,0,1881
Ravel,0,1882
Ravel,0,1883
Ravel,0,1884
Ravel,0,1885
Ravel,0,1886
Ravel,0,1887
Ravel,0,1888
Ravel,0,1889
Ravel,0,1890
Ravel,0,1891
Ravel,0,1892
Ravel,0,1893
Ravel,0,1894
Ravel,0,1895
Ravel,0,1896
Ravel,0,1897
Ravel,0,1898
Ravel,0,1899
Ravel,0,1900
Ravel,0,1901
Ravel,0,1902
Ravel,0,1903
Ravel,0,1904
Ravel,0,1905
Ravel,0,1906
Ravel,0,1907
Ravel,0,1908
Ravel,1,1909
Ravel,0,1910
Ravel,0,1911
Ravel,2,1912
Ravel,1,1913
Ravel,1,1914
Ravel,5,1915
Ravel,6,1916
Ravel,1,1917
Ravel,1,1918
Ravel,5,1919
Ravel,10,1920
Ravel,5,1921
Ravel,6,1922
Ravel,10,1923
Ravel,7,1924
Ravel,8,1925
Ravel,15,1926
Ravel,5,1927
Ravel,13,1928
Ravel,13,1929
Ravel,19,1930
Ravel,21,1931
Ravel,3,1932
Ravel,14,1933
Ravel,16,1934
Ravel,11,1935
Ravel,7,1936
Ravel,16,1937
Ravel,13,1938
Ravel,13,1939
Ravel,12,1940
Ravel,17,1941
Ravel,10,1942
Ravel,13,1943
Ravel,13,1944
Ravel,15,1945
Ravel,9,1946
Ravel,23,1947
Ravel,14,1948
Ravel,9,1949
Ravel,20,1950
Ravel,5,1951
Ravel,8,1952
Ravel,21,1953
Ravel,13,1954
Ravel,22,1955
Ravel,16,1956
Ravel,10,1957
Ravel,34,1958
Ravel,26,1959
Ravel,22,1960
Ravel,31,1961
Ravel,2,1962
Ravel,26,1963
Ravel,14,1964
Ravel,16,1965
Ravel,15,1966
Ravel,13,1967
Ravel,8,1968
Ravel,17,1969
Ravel,17,1970
Ravel,13,1971
Ravel,33,1972
Ravel,12,1973
Ravel,25,1974
Ravel,22,1975
Ravel,20,1976
Ravel,22,1977
Ravel,13,1978
Ravel,11,1979
Ravel,22,1980
Ravel,19,1981
Ravel,5,1982
Ravel,2,1983
Ravel,12,1984
Ravel,16,1985
Ravel,12,1986
Ravel,12,1987
Ravel,10,1988
Ravel,16,1989
Ravel,17,1990
Ravel,12,1991
Ravel,12,1992
Ravel,19,1993
Ravel,15,1994
Ravel,10,1995
Ravel,21,1996
Ravel,11,1997
Ravel,18,1998
Ravel,14,1999
Ravel,3,2000
Ravel,21,2001
Ravel,16,2002
Ravel,9,2003
Ravel,11,2004
Ravel,13,2005
Ravel,18,2006
Ravel,20,2007
Ravel,26,2008
Ravel,21,2009
Ravel,13,2010
Ravel,8,2011
Ravel,13,2012
Ravel,17,2013
Ravel,8,2014
Ravel,24,2015
Ravel,9,2016
Strauss,0,1842
Strauss,0,1843
Strauss,0,1844
Strauss,0,1845
Strauss,0,1846
Strauss,0,1847
Strauss,0,1848
Strauss,0,1849
Strauss,0,1850
Strauss,0,1851
Strauss,0,1852
Strauss,0,1853
Strauss,0,1854
Strauss,0,1855
Strauss,0,1856
Strauss,0,1857
Strauss,0,1858
Strauss,0,1859
Strauss,0,1860
Strauss,0,1861
Strauss,0,1862
Strauss,0,1863
Strauss,0,1864
Strauss,0,1865
Strauss,0,1866
Strauss,0,1867
Strauss,0,1868
Strauss,0,1869
Strauss,0,1870
Strauss,0,1871
Strauss,0,1872
Strauss,0,1873
Strauss,0,1874
Strauss,0,1875
Strauss,0,1876
Strauss,0,1877
Strauss,0,1878
Strauss,0,1879
Strauss,0,1880
Strauss,0,1881
Strauss,0,1882
Strauss,0,1883
Strauss,1,1884
Strauss,0,1885
Strauss,0,1886
Strauss,0,1887
Strauss,0,1888
Strauss,0,1889
Strauss,0,1890
Strauss,0,1891
Strauss,3,1892
Strauss,0,1893
Strauss,0,1894
Strauss,2,1895
Strauss,0,1896
Strauss,0,1897
Strauss,2,1898
Strauss,0,1899
Strauss,2,1900
Strauss,7,1901
Strauss,4,1902
Strauss,4,1903
Strauss,4,1904
Strauss,4,1905
Strauss,4,1906
Strauss,5,1907
Strauss,4,1908
Strauss,5,1909
Strauss,17,1910
Strauss,9,1911
Strauss,31,1912
Strauss,22,1913
Strauss,20,1914
Strauss,18,1915
Strauss,18,1916
Strauss,23,1917
Strauss,2,1918
Strauss,0,1919
Strauss,4,1920
Strauss,50,1921
Strauss,37,1922
Strauss,34,1923
Strauss,41,1924
Strauss,38,1925
Strauss,46,1926
Strauss,39,1927
Strauss,31,1928
Strauss,30,1929
Strauss,53,1930
Strauss,25,1931
Strauss,27,1932
Strauss,26,1933
Strauss,11,1934
Strauss,7,1935
Strauss,16,1936
Strauss,20,1937
Strauss,12,1938
Strauss,8,1939
Strauss,8,1940
Strauss,14,1941
Strauss,4,1942
